id;name;info;available;contact;image;image_content_type;quantity
1;application Soap;Rubber;true;invoice Jewelery interface;../fake-data/blob/hipster.png;image/png;1080p
2;Branding Yen deposit;Response protocol;false;systematic Chips Islands;../fake-data/blob/hipster.png;image/png;Checking Account Falkland Islands Pound
3;invoice;Table out-of-the-box Island;true;bypass;../fake-data/blob/hipster.png;image/png;system engine bus
4;Home Loan Account web-readiness;SDD Rustic Fresh Chicken;false;deposit;../fake-data/blob/hipster.png;image/png;program hard drive
5;array wireless Future;contextually-based;true;cross-platform Unbranded Fresh Shirt;../fake-data/blob/hipster.png;image/png;Sleek
6;Borders Public-key Bedfordshire;Chicken;false;plug-and-play Fresh;../fake-data/blob/hipster.png;image/png;invoice override
7;Generic Internal;Madagascar;false;payment Money Market Account compressing;../fake-data/blob/hipster.png;image/png;implementation Savings Account Puerto Rico
8;Kwacha port compressing;systems Highway architectures;false;Rustic Automated;../fake-data/blob/hipster.png;image/png;concept EXE Corporate
9;Money Market Account;Small Cotton Car driver;true;Tools Re-engineered Investment Account;../fake-data/blob/hipster.png;image/png;sexy heuristic solution
10;sexy;deposit 4th generation Tunisian Dinar;false;Configuration;../fake-data/blob/hipster.png;image/png;Metal bus mission-critical
